Bird_Id,Learner_type,Hemisphere,Cell_type,Region,Density_interneurons,log(Density_interneurons)
Silver22,Good,LH,CBCTPV,Medial,NA,NA
Silver22,Good,LH,CTPV,Medial,NA,NA
Silver22,Good,LH,CBPV,Medial,NA,NA
Silver22,Good,LH,CBCT,Medial,NA,NA
Silver22,Good,RH,CBCTPV,Medial,4594.3901,3.662227867
Silver22,Good,RH,CTPV,Medial,19526.15793,4.290616798
Silver22,Good,RH,CBPV,Medial,8040.182675,3.905265916
Silver22,Good,RH,CBCT,Medial,47092.49853,4.672951733
Silver26,Bad,LH,CBCTPV,Medial,14260.30724,4.154128883
Silver26,Bad,LH,CTPV,Medial,83524.65667,4.921814699
Silver26,Bad,LH,CBPV,Medial,18334.68073,4.263273352
Silver26,Bad,LH,CBCT,Medial,57041.22894,4.756188874
Silver26,Bad,RH,CBCTPV,Medial,9625.300813,3.983414311
Silver26,Bad,RH,CTPV,Medial,30480.11924,4.484016662
Silver26,Bad,RH,CBPV,Medial,17646.38482,4.246655746
Silver26,Bad,RH,CBCT,Medial,72189.7561,4.858475575
Silver28,Good,LH,CBCTPV,Medial,1449.975833,3.161360764
Silver28,Good,LH,CTPV,Medial,39149.3475,4.592724528
Silver28,Good,LH,CBPV,Medial,8699.855,3.939512014
Silver28,Good,LH,CBCT,Medial,23199.61333,4.365480747
Silver28,Good,RH,CBCTPV,Medial,3677.328981,3.565532484
Silver28,Good,RH,CTPV,Medial,20838.19756,4.318860151
Silver28,Good,RH,CBPV,Medial,18386.6449,4.264502489
Silver28,Good,RH,CBCT,Medial,28192.85552,4.450139066
Silver29,Good,LH,CBCTPV,Medial,1908.310236,3.28064898
Silver29,Good,LH,CTPV,Medial,32441.27401,4.511097901
Silver29,Good,LH,CBPV,Medial,5724.930708,3.757770235
Silver29,Good,LH,CBCT,Medial,103048.7527,5.013042739
Silver29,Good,RH,CBCTPV,Medial,2779.493516,3.443965665
Silver29,Good,RH,CTPV,Medial,31964.17543,4.504663506
Silver29,Good,RH,CBPV,Medial,6948.733789,3.841905674
Silver29,Good,RH,CBCT,Medial,75046.32492,4.875329429
